character_slug,character_name_en,character_name_cn,source,needs_manual_check,aliases
guinaifen,Guinaifen,桂乃芬,HoYoWiki official hsr character menu_id=104,0,
hanya,Hanya,寒鸦,HoYoWiki official hsr character menu_id=104,0,
herta,Herta,黑塔,HoYoWiki official hsr character menu_id=104,0,
himeko,Himeko,姬子,HoYoWiki official hsr character menu_id=104,0,
hook,Hook,虎克,HoYoWiki official hsr character menu_id=104,0,
huohuo,Huohuo,藿藿,HoYoWiki official hsr character menu_id=104,0,
hyacine,Hyacine,风堇,HoYoWiki official hsr character menu_id=104,0,
hysilens,Hysilens,海瑟音,HoYoWiki official hsr character menu_id=104,0,
imbibitor-lunae,Dan Heng • Imbibitor Lunae,丹恒•饮月,HoYoWiki official hsr character menu_id=104,0,dan-heng-imbibitor-lunae
jade,Jade,翡翠,HoYoWiki official hsr character menu_id=104,0,
jiaoqiu,Jiaoqiu,椒丘,HoYoWiki official hsr character menu_id=104,0,
jing-yuan,Jing Yuan,景元,HoYoWiki official hsr character menu_id=104,0,
jingliu,Jingliu,镜流,HoYoWiki official hsr character menu_id=104,0,
kafka,Kafka,卡芙卡,HoYoWiki official hsr character menu_id=104,0,
lingsha,Lingsha,灵砂,HoYoWiki official hsr character menu_id=104,0,
luka,Luka,卢卡,HoYoWiki official hsr character menu_id=104,0,
luocha,Luocha,罗刹,HoYoWiki official hsr character menu_id=104,0,
lynx,Lynx,玲可,HoYoWiki official hsr character menu_id=104,0,
march-7th,March 7th,三月七 - 存护,HoYoWiki official hsr character menu_id=104,0,
march-7th-evernight,Evernight,长夜月,HoYoWiki official hsr character menu_id=104,0,evernight
march-7th-swordmaster,March 7th: The Hunt,三月七•巡猎,HoYoWiki official hsr character menu_id=104,0,march-7th-the-hunt
misha,Misha,米沙,HoYoWiki official hsr character menu_id=104,0,
moze,Moze,貊泽,HoYoWiki official hsr character menu_id=104,0,
mydei,Mydei,万敌,HoYoWiki official hsr character menu_id=104,0,
natasha,Natasha,娜塔莎,HoYoWiki official hsr character menu_id=104,0,
pela,Pela,佩拉,HoYoWiki official hsr character menu_id=104,0,
phainon,Phainon,白厄,HoYoWiki official hsr character menu_id=104,0,
qingque,Qingque,青雀,HoYoWiki official hsr character menu_id=104,0,
rappa,Rappa,乱破,HoYoWiki official hsr character menu_id=104,0,
robin,Robin,知更鸟,HoYoWiki official hsr character menu_id=104,0,
ruan-mei,Ruan Mei,阮•梅,HoYoWiki official hsr character menu_id=104,0,
saber,Saber,Saber,HoYoWiki official hsr character menu_id=104,0,
sampo,Sampo,桑博,HoYoWiki official hsr character menu_id=104,0,
seele,Seele,希儿,HoYoWiki official hsr character menu_id=104,0,
serval,Serval,希露瓦,HoYoWiki official hsr character menu_id=104,0,
silver-wolf,Silver Wolf,银狼,HoYoWiki official hsr character menu_id=104,0,
silver-wolf-lv-999,Silver Wolf LV.999,银狼LV.999,HoYoWiki official hsr character menu_id=104,0,silver-wolf-lv999
sparkle,Sparkle,花火,HoYoWiki official hsr character menu_id=104,0,
sparxie,Sparxie,火花,HoYoWiki official hsr character menu_id=104,0,
sunday,Sunday,星期日,HoYoWiki official hsr character menu_id=104,0,
sushang,Sushang,素裳,HoYoWiki official hsr character menu_id=104,0,
the-dahlia,The Dahlia,大丽花,HoYoWiki official hsr character menu_id=104,0,
the-herta,The Herta,大黑塔,HoYoWiki official hsr character menu_id=104,0,
tingyun,Tingyun,停云,HoYoWiki official hsr character menu_id=104,0,
tingyun-fugue,Fugue,忘归人,HoYoWiki official hsr character menu_id=104,0,fugue
topaz,Topaz & Numby,托帕&账账,HoYoWiki official hsr character menu_id=104,0,topaz-and-numby
trailblazer-destruction,Trailblazer - The Destruction,开拓者 - 毁灭,HoYoWiki official hsr character menu_id=104,0,trailblazer-the-destruction
trailblazer-elation,Trailblazer: Elation,开拓者•欢愉,HoYoWiki official hsr character menu_id=104,0,
trailblazer-harmony,Trailblazer - The Harmony,开拓者 - 同谐,HoYoWiki official hsr character menu_id=104,0,trailblazer-the-harmony
trailblazer-preservation,Trailblazer - The Preservation,开拓者 - 存护,HoYoWiki official hsr character menu_id=104,0,trailblazer-the-preservation
trailblazer-remembrance,Trailblazer - Remembrance,开拓者•记忆,HoYoWiki official hsr character menu_id=104,0,trailblazer-remembrance
tribbie,Tribbie,缇宝,HoYoWiki official hsr character menu_id=104,0,
welt,Welt,瓦尔特,HoYoWiki official hsr character menu_id=104,0,
xueyi,Xueyi,雪衣,HoYoWiki official hsr character menu_id=104,0,
yanqing,Yanqing,彦卿,HoYoWiki official hsr character menu_id=104,0,
yao-guang,Yao Guang,爻光,HoYoWiki official hsr character menu_id=104,0,
yukong,Yukong,驭空,HoYoWiki official hsr character menu_id=104,0,
yunli,Yunli,云璃,HoYoWiki official hsr character menu_id=104,0,
