character_slug,character_name_en,character_name_cn,source,needs_manual_check,aliases,kind,release_order
cissia,Cissia,希希芙,HoYoWiki official zzz agent menu_id=8,0,,agent,3
corin,Corin Wickes,可琳·威克斯,HoYoWiki official zzz agent menu_id=8,0,corin;wickes,agent,48
cryboo,Cryboo,泪眼布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1024
devilboo,Devilboo,恶魔布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1031
dialyn,Dialyn,琉音,HoYoWiki official zzz agent menu_id=8,0,,agent,10
electroboo,Electroboo,电击布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1027
ellen,Ellen Joe,艾莲·乔,HoYoWiki official zzz agent menu_id=8,0,ellen;joe,agent,42
evelyn,Evelyn Chevalier,伊芙琳·舒瓦利耶,HoYoWiki official zzz agent menu_id=8,0,chevalier;evelyn,agent,26
excaliboo,Excaliboo,圣剑布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1006
exploreboo,Exploreboo,寻宝布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1020
grace-howard,Grace Howard,格莉丝·霍华德,HoYoWiki official zzz agent menu_id=8,0,grace;howard,agent,44
harumasa,Asaba Harumasa,浅羽 悠真,HoYoWiki official zzz agent menu_id=8,0,asaba;harumasa,agent,28
hugo,Hugo Vlad,雨果·维拉德,HoYoWiki official zzz agent menu_id=8,0,hugo;vlad,agent,21
jane-doe,Jane Doe,简·杜,HoYoWiki official zzz agent menu_id=8,0,doe;jane,agent,35
ju-fufu,Ju Fufu,橘福福,HoYoWiki official zzz agent menu_id=8,0,fufu;ju,agent,20
knightboo,Knightboo,骑士布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1015
koleda,Koleda Belobog,珂蕾妲·贝洛伯格,HoYoWiki official zzz agent menu_id=8,0,belobog;koleda,agent,45
lighter,Lighter,莱特,HoYoWiki official zzz agent menu_id=8,0,,agent,30
lucia,Lucia,卢西娅,HoYoWiki official zzz agent menu_id=8,0,,agent,13
luckyboo,Luckyboo,招财布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1019
lucy,Luciana de Montefio,露西亚娜·德·蒙特夫,HoYoWiki official zzz agent menu_id=8,0,luciana;lucy;montefio,agent,38
lycaon,Von Lycaon,冯·莱卡恩,HoYoWiki official zzz agent menu_id=8,0,lycaon;von,agent,43
magnetiboo,Magnetiboo,磁力布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1028
manato,Komano Manato,狛野真斗,HoYoWiki official zzz agent menu_id=8,0,komano;manato,agent,12
mercury,Mercury,「墨丘利」,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1007
miss-esme,Miss Esme,艾丝弥小姐,HoYoWiki official zzz bangboo menu_id=15,0,esme;miss,bangboo,1008
miyabi,Hoshimi Miyabi,星见 雅,HoYoWiki official zzz agent menu_id=8,0,hoshimi;miyabi,agent,29
nangong-yu,Nangong Yu,南宫羽,HoYoWiki official zzz agent menu_id=8,0,nangong;yu,agent,4
nekomata,Nekomiya Mana,猫宫 又奈,HoYoWiki official zzz agent menu_id=8,0,mana;nekomata;nekomiya,agent,50
nicole-demara,Nicole Demara,妮可·德玛拉,HoYoWiki official zzz agent menu_id=8,0,demara;nicole,agent,51
officer-cui,Officer Cui,阿崔巡查,HoYoWiki official zzz bangboo menu_id=15,0,cui;officer,bangboo,1018
orphie-and-magus,"Orphie Magnusson & ""Magus""",奥菲丝·马格努森 & 「鬼火」,HoYoWiki official zzz agent menu_id=8,0,magus;orphie;orphie-and-magus,agent,14
overtimeboo,Overtimeboo,加班布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1010
pan-yinhu,Pan Yinhu,潘引壶,HoYoWiki official zzz agent menu_id=8,0,pan;yinhu,agent,19
paperboo,Paperboo,纸壳布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1022
penguinboo,Penguinboo,企鹅布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1039
piper,Piper Wheel,派派·韦尔,HoYoWiki official zzz agent menu_id=8,0,piper;wheel,agent,37
plugboo,Plugboo,插头布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1033
promeia,Promeia,普罗米娅,HoYoWiki official zzz agent menu_id=8,0,,agent,2
pulchra,Pulchra Fellini,波可娜·费雷尼,HoYoWiki official zzz agent menu_id=8,0,fellini;pulchra,agent,24
pyrois,Pyrois,,Prydwen/HF slug,1,,unknown,9999
qingyi,Qingyi,青衣,HoYoWiki official zzz agent menu_id=8,0,,agent,36
red-moccus,Red Moccus,赤红莫库斯,HoYoWiki official zzz bangboo menu_id=15,0,moccus;red,bangboo,1017
resonaboo,Resonaboo,共鸣布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1034
rina,Alexandrina Sebastiane,亚历山德丽娜·莎芭丝缇安,HoYoWiki official zzz agent menu_id=8,0,alexandrina;rina;sebastiane,agent,41
robin,Robin,罗宾,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1011
rocketboo,Rocketboo,飚速布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1032
safety,Safety,阿全,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1036
seed,Seed,「席德」,HoYoWiki official zzz agent menu_id=8,0,,agent,15
seth,Seth Lowell,赛斯·洛威尔,HoYoWiki official zzz agent menu_id=8,0,lowell;seth,agent,34
sharkboo,Sharkboo,鲨牙布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1030
snap,Snap,咔嚓仔,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1012
soldier-11,Soldier 11,「11号」,HoYoWiki official zzz agent menu_id=8,0,11;soldier,agent,49
soukaku,Soukaku,苍角,HoYoWiki official zzz agent menu_id=8,0,,agent,39
sprout,Sprout,芽芽,HoYoWiki official zzz zh-cn bangboo menu_id=15,0,,bangboo,1003
sumoboo,Sumoboo,扑击布,HoYoWiki official zzz bangboo menu_id=15,0,,bangboo,1021
sunna,Sunna,千夏,HoYoWiki official zzz agent menu_id=8,0,,agent,6
trigger,Trigger,「扳机」,HoYoWiki official zzz agent menu_id=8,0,,agent,23
ukinami-yuzuha,Ukinami Yuzuha,浮波柚叶,HoYoWiki official zzz agent menu_id=8,0,ukinami;yuzuha,agent,17
ultra-jake,Ultra Jake,超极杰克,HoYoWiki official zzz zh-cn bangboo menu_id=15,0,,bangboo,1000
velina,Velina,维琳娜·艾嘉德,HoYoWiki official zzz zh-cn agent menu_id=8,0,,agent,0
vivian,Vivian Banshee,薇薇安·班希,HoYoWiki official zzz agent menu_id=8,0,banshee;vivian,agent,22
yanagi,Tsukishiro Yanagi,月城 柳,HoYoWiki official zzz agent menu_id=8,0,tsukishiro;yanagi,agent,31
ye-shunguang,Ye Shunguang,叶瞬光,HoYoWiki official zzz agent menu_id=8,0,shunguang;ye,agent,7
yidhari,Yidhari,伊德海莉·墨菲,HoYoWiki official zzz agent menu_id=8,0,,agent,11
yixuan,Yixuan,仪玄,HoYoWiki official zzz agent menu_id=8,0,,agent,18
zhao,Zhao,照,HoYoWiki official zzz agent menu_id=8,0,,agent,8
zhu-yuan,Zhu Yuan,朱鸢,HoYoWiki official zzz agent menu_id=8,0,yuan;zhu,agent,40
